Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Threads,Failed
"bn-human-Jung2015_M87126525",8,4,3657776,0.03,0.029994,2.472,1901100,96,0
"bn-human-Jung2015_M87126525",91,4,21448503,0.03,0.02993,5.858,5662248,96,0
"bn-human-Jung2015_M87126525",1000,5,63911856,0.03,0.029713,12.833,6600952,96,0
"bn-human-Jung2015_M87126525",128,5,25270737,0.03,0.029902,4.796,5007020,96,0
"bn-human-Jung2015_M87126525",37,5,12732927,0.03,0.029988,5.727,4381664,96,0
"bn-human-Jung2015_M87126525",64,5,16899330,0.03,0.029969,4.868,5182604,96,0
"bn-human-Jung2015_M87126525",8,5,3508527,0.03,0.029994,2.42,1900916,96,0
"bn-human-Jung2015_M87126525",91,5,20511859,0.03,0.02993,6.367,5472384,96,0
"bn-human-Jung2015_M87128519_1",1000,1,90993067,0.03,0.029002,11.527,7001880,96,0
"bn-human-Jung2015_M87128519_1",128,1,38466926,0.03,0.029857,5.039,5426184,96,0
"bn-human-Jung2015_M87128519_1",37,1,19962787,0.03,0.029972,4.551,3929784,96,0
"bn-human-Jung2015_M87128519_1",64,1,26623530,0.03,0.029932,4.055,4493220,96,0
"bn-human-Jung2015_M87128519_1",8,1,8158510,0.03,0.029999,3.221,2158100,96,0
"bn-human-Jung2015_M87128519_1",91,1,32448400,0.03,0.029993,5.213,5418804,96,0
"bn-human-Jung2015_M87128519_1",1000,2,90925240,0.03,0.029002,11.559,6903980,96,0
"bn-human-Jung2015_M87128519_1",128,2,37898332,0.03,0.029857,5.011,5232396,96,0
"bn-human-Jung2015_M87128519_1",37,2,19943197,0.03,0.029972,4.231,3775380,96,0
"bn-human-Jung2015_M87128519_1",64,2,26654515,0.03,0.029932,3.813,4556720,96,0
"bn-human-Jung2015_M87128519_1",8,2,9102057,0.03,0.029999,3.21,2211904,96,0
"bn-human-Jung2015_M87128519_1",91,2,31588237,0.03,0.029993,4.805,5238432,96,0
"bn-human-Jung2015_M87128519_1",1000,3,91004514,0.03,0.029002,11.693,6802312,96,0
"bn-human-Jung2015_M87128519_1",128,3,37814538,0.03,0.029857,5.779,5376456,96,0
"bn-human-Jung2015_M87128519_1",37,3,19247655,0.03,0.029972,4.056,3803872,96,0
"bn-human-Jung2015_M87128519_1",64,3,26680752,0.03,0.029932,4.003,4679444,96,0
"bn-human-Jung2015_M87128519_1",8,3,8752352,0.03,0.029999,2.976,2161180,96,0
"bn-human-Jung2015_M87128519_1",91,3,32110753,0.03,0.029993,5.054,5202732,96,0
"bn-human-Jung2015_M87128519_1",1000,4,90894576,0.03,0.029002,11.519,7077588,96,0
"bn-human-Jung2015_M87128519_1",128,4,38102098,0.03,0.029857,5.078,5435280,96,0
"bn-human-Jung2015_M87128519_1",37,4,19615525,0.03,0.029972,3.98,3810956,96,0
